filename,flip_type,bbox_coords,normal_abnormal
sperm_morph_08_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 302, ""top_left_y"": 110, ""bottom_right_x"": 561, ""bottom_right_y"": 368}","{""Normal/Abnormal"":""A""}"
sperm_morph_08_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 214, ""top_left_y"": 213, ""bottom_right_x"": 473, ""bottom_right_y"": 471}","{""Normal/Abnormal"":""A""}"
sperm_morph_08_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 302, ""top_left_y"": 213, ""bottom_right_x"": 561, ""bottom_right_y"": 471}","{""Normal/Abnormal"":""A""}"
sperm_morph_09_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 84, ""top_left_y"": 219, ""bottom_right_x"": 679, ""bottom_right_y"": 315}","{""Normal/Abnormal"":""N""}"
sperm_morph_09_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 96, ""top_left_y"": 266, ""bottom_right_x"": 691, ""bottom_right_y"": 362}","{""Normal/Abnormal"":""N""}"
sperm_morph_09_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 84, ""top_left_y"": 266, ""bottom_right_x"": 679, ""bottom_right_y"": 362}","{""Normal/Abnormal"":""N""}"
sperm_morph_10_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 35, ""top_left_y"": 145, ""bottom_right_x"": 639, ""bottom_right_y"": 298}","{""Normal/Abnormal"":""N""}"
sperm_morph_10_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 136, ""top_left_y"": 283, ""bottom_right_x"": 740, ""bottom_right_y"": 436}","{""Normal/Abnormal"":""N""}"
sperm_morph_10_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 35, ""top_left_y"": 283, ""bottom_right_x"": 639, ""bottom_right_y"": 436}","{""Normal/Abnormal"":""N""}"
sperm_morph_11_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 16, ""top_left_y"": 85, ""bottom_right_x"": 605, ""bottom_right_y"": 456}","{""Normal/Abnormal"":""A""}"
sperm_morph_11_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 170, ""top_left_y"": 125, ""bottom_right_x"": 759, ""bottom_right_y"": 496}","{""Normal/Abnormal"":""A""}"
sperm_morph_11_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 16, ""top_left_y"": 125, ""bottom_right_x"": 605, ""bottom_right_y"": 496}","{""Normal/Abnormal"":""A""}"
sperm_morph_12_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 93, ""top_left_y"": 155, ""bottom_right_x"": 679, ""bottom_right_y"": 346}","{""Normal/Abnormal"":""A""}"
sperm_morph_12_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 96, ""top_left_y"": 235, ""bottom_right_x"": 682, ""bottom_right_y"": 426}","{""Normal/Abnormal"":""A""}"
sperm_morph_12_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 93, ""top_left_y"": 235, ""bottom_right_x"": 679, ""bottom_right_y"": 426}","{""Normal/Abnormal"":""A""}"
sperm_morph_13_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 51, ""top_left_y"": 134, ""bottom_right_x"": 700, ""bottom_right_y"": 303}","{""Normal/Abnormal"":""A""}"
sperm_morph_13_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 75, ""top_left_y"": 278, ""bottom_right_x"": 724, ""bottom_right_y"": 447}","{""Normal/Abnormal"":""A""}"
sperm_morph_13_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 51, ""top_left_y"": 278, ""bottom_right_x"": 700, ""bottom_right_y"": 447}","{""Normal/Abnormal"":""A""}"
sperm_morph_14_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 188, ""top_left_y"": 145, ""bottom_right_x"": 677, ""bottom_right_y"": 377}","{""Normal/Abnormal"":""N""}"
sperm_morph_14_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 98, ""top_left_y"": 204, ""bottom_right_x"": 587, ""bottom_right_y"": 436}","{""Normal/Abnormal"":""N""}"
sperm_morph_14_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 188, ""top_left_y"": 204, ""bottom_right_x"": 677, ""bottom_right_y"": 436}","{""Normal/Abnormal"":""N""}"
sperm_morph_15_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 51, ""top_left_y"": 229, ""bottom_right_x"": 678, ""bottom_right_y"": 287}","{""Normal/Abnormal"":""N""}"
sperm_morph_15_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 97, ""top_left_y"": 294, ""bottom_right_x"": 724, ""bottom_right_y"": 352}","{""Normal/Abnormal"":""N""}"
sperm_morph_15_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 51, ""top_left_y"": 294, ""bottom_right_x"": 678, ""bottom_right_y"": 352}","{""Normal/Abnormal"":""N""}"
sperm_morph_16_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 30, ""top_left_y"": 67, ""bottom_right_x"": 661, ""bottom_right_y"": 267}","{""Normal/Abnormal"":""N""}"
sperm_morph_16_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 114, ""top_left_y"": 314, ""bottom_right_x"": 745, ""bottom_right_y"": 514}","{""Normal/Abnormal"":""N""}"
sperm_morph_16_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 30, ""top_left_y"": 314, ""bottom_right_x"": 661, ""bottom_right_y"": 514}","{""Normal/Abnormal"":""N""}"
sperm_morph_17_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 53, ""top_left_y"": 175, ""bottom_right_x"": 690, ""bottom_right_y"": 306}","{""Normal/Abnormal"":""N""}"
sperm_morph_17_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 85, ""top_left_y"": 275, ""bottom_right_x"": 722, ""bottom_right_y"": 406}","{""Normal/Abnormal"":""N""}"
sperm_morph_17_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 53, ""top_left_y"": 275, ""bottom_right_x"": 690, ""bottom_right_y"": 406}","{""Normal/Abnormal"":""N""}"
sperm_morph_18_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 41, ""top_left_y"": 135, ""bottom_right_x"": 685, ""bottom_right_y"": 333}","{""Normal/Abnormal"":""A""}"
sperm_morph_18_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 90, ""top_left_y"": 248, ""bottom_right_x"": 734, ""bottom_right_y"": 446}","{""Normal/Abnormal"":""A""}"
sperm_morph_18_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 41, ""top_left_y"": 248, ""bottom_right_x"": 685, ""bottom_right_y"": 446}","{""Normal/Abnormal"":""A""}"
sperm_morph_19_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 311, ""top_left_y"": 102, ""bottom_right_x"": 538, ""bottom_right_y"": 367}","{""Normal/Abnormal"":""A""}"
sperm_morph_19_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 237, ""top_left_y"": 214, ""bottom_right_x"": 464, ""bottom_right_y"": 479}","{""Normal/Abnormal"":""A""}"
sperm_morph_19_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 311, ""top_left_y"": 214, ""bottom_right_x"": 538, ""bottom_right_y"": 479}","{""Normal/Abnormal"":""A""}"
sperm_morph_20_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 58, ""top_left_y"": 235, ""bottom_right_x"": 676, ""bottom_right_y"": 289}","{""Normal/Abnormal"":""N""}"
sperm_morph_20_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 99, ""top_left_y"": 292, ""bottom_right_x"": 717, ""bottom_right_y"": 346}","{""Normal/Abnormal"":""N""}"
sperm_morph_20_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 58, ""top_left_y"": 292, ""bottom_right_x"": 676, ""bottom_right_y"": 346}","{""Normal/Abnormal"":""N""}"
sperm_morph_21_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 31, ""top_left_y"": 151, ""bottom_right_x"": 627, ""bottom_right_y"": 294}","{""Normal/Abnormal"":""N""}"
sperm_morph_21_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 148, ""top_left_y"": 287, ""bottom_right_x"": 744, ""bottom_right_y"": 430}","{""Normal/Abnormal"":""N""}"
sperm_morph_21_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 31, ""top_left_y"": 287, ""bottom_right_x"": 627, ""bottom_right_y"": 430}","{""Normal/Abnormal"":""N""}"
sperm_morph_22_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 19, ""top_left_y"": 87, ""bottom_right_x"": 605, ""bottom_right_y"": 424}","{""Normal/Abnormal"":""A""}"
sperm_morph_22_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 170, ""top_left_y"": 157, ""bottom_right_x"": 756, ""bottom_right_y"": 494}","{""Normal/Abnormal"":""A""}"
sperm_morph_22_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 19, ""top_left_y"": 157, ""bottom_right_x"": 605, ""bottom_right_y"": 494}","{""Normal/Abnormal"":""A""}"
sperm_morph_23_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 92, ""top_left_y"": 182, ""bottom_right_x"": 665, ""bottom_right_y"": 334}","{""Normal/Abnormal"":""A""}"
sperm_morph_23_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 110, ""top_left_y"": 247, ""bottom_right_x"": 683, ""bottom_right_y"": 399}","{""Normal/Abnormal"":""A""}"
sperm_morph_23_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 92, ""top_left_y"": 247, ""bottom_right_x"": 665, ""bottom_right_y"": 399}","{""Normal/Abnormal"":""A""}"
sperm_morph_24_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 71, ""top_left_y"": 146, ""bottom_right_x"": 705, ""bottom_right_y"": 303}","{""Normal/Abnormal"":""A""}"
sperm_morph_24_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 70, ""top_left_y"": 278, ""bottom_right_x"": 704, ""bottom_right_y"": 435}","{""Normal/Abnormal"":""A""}"
sperm_morph_24_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 71, ""top_left_y"": 278, ""bottom_right_x"": 705, ""bottom_right_y"": 435}","{""Normal/Abnormal"":""A""}"
sperm_morph_25_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 209, ""top_left_y"": 118, ""bottom_right_x"": 700, ""bottom_right_y"": 376}","{""Normal/Abnormal"":""N""}"
sperm_morph_25_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 75, ""top_left_y"": 205, ""bottom_right_x"": 566, ""bottom_right_y"": 463}","{""Normal/Abnormal"":""N""}"
sperm_morph_25_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 209, ""top_left_y"": 205, ""bottom_right_x"": 700, ""bottom_right_y"": 463}","{""Normal/Abnormal"":""N""}"
sperm_morph_26_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 63, ""top_left_y"": 233, ""bottom_right_x"": 665, ""bottom_right_y"": 301}","{""Normal/Abnormal"":""N""}"
sperm_morph_26_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 110, ""top_left_y"": 280, ""bottom_right_x"": 712, ""bottom_right_y"": 348}","{""Normal/Abnormal"":""N""}"
sperm_morph_26_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 63, ""top_left_y"": 280, ""bottom_right_x"": 665, ""bottom_right_y"": 348}","{""Normal/Abnormal"":""N""}"
sperm_morph_27_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 30, ""top_left_y"": 68, ""bottom_right_x"": 644, ""bottom_right_y"": 276}","{""Normal/Abnormal"":""N""}"
sperm_morph_27_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 131, ""top_left_y"": 305, ""bottom_right_x"": 745, ""bottom_right_y"": 513}","{""Normal/Abnormal"":""N""}"
sperm_morph_27_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 30, ""top_left_y"": 305, ""bottom_right_x"": 644, ""bottom_right_y"": 513}","{""Normal/Abnormal"":""N""}"
sperm_morph_28_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 81, ""top_left_y"": 178, ""bottom_right_x"": 680, ""bottom_right_y"": 290}","{""Normal/Abnormal"":""N""}"
sperm_morph_28_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 95, ""top_left_y"": 291, ""bottom_right_x"": 694, ""bottom_right_y"": 403}","{""Normal/Abnormal"":""N""}"
sperm_morph_28_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 81, ""top_left_y"": 291, ""bottom_right_x"": 680, ""bottom_right_y"": 403}","{""Normal/Abnormal"":""N""}"
sperm_morph_29_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 46, ""top_left_y"": 144, ""bottom_right_x"": 691, ""bottom_right_y"": 329}","{""Normal/Abnormal"":""A""}"
sperm_morph_29_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 84, ""top_left_y"": 252, ""bottom_right_x"": 729, ""bottom_right_y"": 437}","{""Normal/Abnormal"":""A""}"
sperm_morph_29_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 46, ""top_left_y"": 252, ""bottom_right_x"": 691, ""bottom_right_y"": 437}","{""Normal/Abnormal"":""A""}"
sperm_morph_30_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 28, ""top_left_y"": 76, ""bottom_right_x"": 662, ""bottom_right_y"": 190}","{""Normal/Abnormal"":""A""}"
sperm_morph_30_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 113, ""top_left_y"": 391, ""bottom_right_x"": 747, ""bottom_right_y"": 505}","{""Normal/Abnormal"":""A""}"
sperm_morph_30_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 28, ""top_left_y"": 391, ""bottom_right_x"": 662, ""bottom_right_y"": 505}","{""Normal/Abnormal"":""A""}"
sperm_morph_31_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 581, ""top_left_y"": 11, ""bottom_right_x"": 713, ""bottom_right_y"": 572}","{""Normal/Abnormal"":""N""}"
sperm_morph_31_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 62, ""top_left_y"": 9, ""bottom_right_x"": 194, ""bottom_right_y"": 570}","{""Normal/Abnormal"":""N""}"
sperm_morph_31_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 581, ""top_left_y"": 9, ""bottom_right_x"": 713, ""bottom_right_y"": 570}","{""Normal/Abnormal"":""N""}"
sperm_morph_31_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 21, ""top_left_y"": 114, ""bottom_right_x"": 447, ""bottom_right_y"": 315}","{""Normal/Abnormal"":""A""}"
sperm_morph_31_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 328, ""top_left_y"": 266, ""bottom_right_x"": 754, ""bottom_right_y"": 467}","{""Normal/Abnormal"":""A""}"
sperm_morph_31_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 21, ""top_left_y"": 266, ""bottom_right_x"": 447, ""bottom_right_y"": 467}","{""Normal/Abnormal"":""A""}"
sperm_morph_32_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 228, ""top_left_y"": 11, ""bottom_right_x"": 575, ""bottom_right_y"": 425}","{""Normal/Abnormal"":""N""}"
sperm_morph_32_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 200, ""top_left_y"": 156, ""bottom_right_x"": 547, ""bottom_right_y"": 570}","{""Normal/Abnormal"":""N""}"
sperm_morph_32_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 228, ""top_left_y"": 156, ""bottom_right_x"": 575, ""bottom_right_y"": 570}","{""Normal/Abnormal"":""N""}"
sperm_morph_33_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 101, ""top_left_y"": 68, ""bottom_right_x"": 649, ""bottom_right_y"": 418}","{""Normal/Abnormal"":""A""}"
sperm_morph_33_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 126, ""top_left_y"": 163, ""bottom_right_x"": 674, ""bottom_right_y"": 513}","{""Normal/Abnormal"":""A""}"
sperm_morph_33_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 101, ""top_left_y"": 163, ""bottom_right_x"": 649, ""bottom_right_y"": 513}","{""Normal/Abnormal"":""A""}"
sperm_morph_34_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 88, ""top_left_y"": 139, ""bottom_right_x"": 509, ""bottom_right_y"": 388}","{""Normal/Abnormal"":""A""}"
sperm_morph_34_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 266, ""top_left_y"": 193, ""bottom_right_x"": 687, ""bottom_right_y"": 442}","{""Normal/Abnormal"":""A""}"
sperm_morph_34_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 88, ""top_left_y"": 193, ""bottom_right_x"": 509, ""bottom_right_y"": 442}","{""Normal/Abnormal"":""A""}"
sperm_morph_35_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 101, ""top_left_y"": 264, ""bottom_right_x"": 658, ""bottom_right_y"": 515}","{""Normal/Abnormal"":""A""}"
sperm_morph_35_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 117, ""top_left_y"": 66, ""bottom_right_x"": 674, ""bottom_right_y"": 317}","{""Normal/Abnormal"":""A""}"
sperm_morph_35_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 101, ""top_left_y"": 66, ""bottom_right_x"": 658, ""bottom_right_y"": 317}","{""Normal/Abnormal"":""A""}"
sperm_morph_36_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 40, ""top_left_y"": 247, ""bottom_right_x"": 505, ""bottom_right_y"": 519}","{""Normal/Abnormal"":""A""}"
sperm_morph_36_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 270, ""top_left_y"": 62, ""bottom_right_x"": 735, ""bottom_right_y"": 334}","{""Normal/Abnormal"":""A""}"
sperm_morph_36_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 40, ""top_left_y"": 62, ""bottom_right_x"": 505, ""bottom_right_y"": 334}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 135, ""top_left_y"": 197, ""bottom_right_x"": 694, ""bottom_right_y"": 352}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 81, ""top_left_y"": 229, ""bottom_right_x"": 640, ""bottom_right_y"": 384}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 135, ""top_left_y"": 229, ""bottom_right_x"": 694, ""bottom_right_y"": 384}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 28, ""top_left_y"": 304, ""bottom_right_x"": 747, ""bottom_right_y"": 508}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 28, ""top_left_y"": 73, ""bottom_right_x"": 747, ""bottom_right_y"": 277}","{""Normal/Abnormal"":""A""}"
sperm_morph_37_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 28, ""top_left_y"": 73, ""bottom_right_x"": 747, ""bottom_right_y"": 277}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 5, ""top_left_y"": 405, ""bottom_right_x"": 152, ""bottom_right_y"": 548}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 623, ""top_left_y"": 33, ""bottom_right_x"": 770, ""bottom_right_y"": 176}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 5, ""top_left_y"": 33, ""bottom_right_x"": 152, ""bottom_right_y"": 176}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 243, ""top_left_y"": 243, ""bottom_right_x"": 671, ""bottom_right_y"": 521}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 104, ""top_left_y"": 60, ""bottom_right_x"": 532, ""bottom_right_y"": 338}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 243, ""top_left_y"": 60, ""bottom_right_x"": 671, ""bottom_right_y"": 338}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 124, ""top_left_y"": 274, ""bottom_right_x"": 540, ""bottom_right_y"": 411}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 235, ""top_left_y"": 170, ""bottom_right_x"": 651, ""bottom_right_y"": 307}","{""Normal/Abnormal"":""A""}"
sperm_morph_38_resized_lr_ud.jpeg,lr-ud,"{""name"": ""rect"", ""top_left_x"": 124, ""top_left_y"": 170, ""bottom_right_x"": 540, ""bottom_right_y"": 307}","{""Normal/Abnormal"":""A""}"
sperm_morph_39_resized_lr.jpeg,lr,"{""name"": ""rect"", ""top_left_x"": 333, ""top_left_y"": 189, ""bottom_right_x"": 451, ""bottom_right_y"": 336}","{""Normal/Abnormal"":""A""}"
sperm_morph_39_resized_ud.jpeg,ud,"{""name"": ""rect"", ""top_left_x"": 324, ""top_left_y"": 245, ""bottom_right_x"": 442, ""bottom_right_y"": 392}","{""Normal/Abnormal"":""A""}"
