filename,top_left_x,top_left_y,bottom_right_x,bottom_right_y,normal_abnormal
sperm_morph_538_resized_ud.jpeg,116,108,679,330,Abnormal
sperm_morph_257_resized.jpeg,251,22,408,573,Abnormal
sperm_morph_45_resized.jpeg,164,136,530,420,Abnormal
sperm_morph_1111_resized.jpeg,156,26,393,542,Normal
sperm_morph_803_resized_ud.jpeg,249,300,717,560,Normal
sperm_morph_944_resized.jpeg,245,406,392,542,Abnormal
sperm_morph_313_resized_lr.jpeg,534,29,762,255,Normal
sperm_morph_311_resized_lr.jpeg,54,100,578,402,Normal
sperm_morph_187_resized_ud.jpeg,306,131,509,380,Abnormal
sperm_morph_245_resized_lr.jpeg,167,75,710,375,Abnormal
sperm_morph_839_resized_lr.jpeg,104,181,689,445,Abnormal
sperm_morph_609_resized_ud.jpeg,263,57,579,386,Abnormal
sperm_morph_1073_resized.jpeg,636,80,730,318,Abnormal
sperm_morph_1084_resized_ud.jpeg,86,141,599,556,Normal
sperm_morph_206_resized_lr.jpeg,247,12,477,553,Abnormal
sperm_morph_724_resized.jpeg,100,240,607,428,Normal
sperm_morph_1029_resized_ud.jpeg,30,143,274,406,Abnormal
sperm_morph_187_resized_lr_ud.jpeg,266,131,469,380,Abnormal
sperm_morph_948_resized.jpeg,140,5,299,171,Abnormal
sperm_morph_1029_resized.jpeg,284,46,606,402,Normal
sperm_morph_772_resized_ud.jpeg,58,61,330,397,Abnormal
sperm_morph_588_resized_lr.jpeg,96,263,697,499,Normal
sperm_morph_565_resized_lr_ud.jpeg,99,162,544,282,Normal
sperm_morph_861_resized_ud.jpeg,411,61,552,458,Abnormal
sperm_morph_474_resized_lr_ud.jpeg,83,115,652,438,Abnormal
sperm_morph_57_resized_lr_ud.jpeg,574,62,727,195,Abnormal
sperm_morph_401_resized.jpeg,96,285,643,578,Abnormal
sperm_morph_166_resized.jpeg,115,138,742,271,Normal
sperm_morph_481_resized_ud.jpeg,123,130,587,316,Abnormal
sperm_morph_920_resized.jpeg,122,191,695,361,Abnormal
sperm_morph_90_resized_lr.jpeg,102,67,512,482,Abnormal
sperm_morph_504_resized.jpeg,272,13,453,568,Abnormal
sperm_morph_190_resized_lr.jpeg,106,58,667,275,Abnormal
sperm_morph_479_resized_lr.jpeg,153,245,685,493,Abnormal
sperm_morph_616_resized_ud.jpeg,609,326,746,488,Abnormal
sperm_morph_874_resized_lr.jpeg,557,109,769,219,Abnormal
sperm_morph_69_resized_ud.jpeg,387,345,592,551,Abnormal
sperm_morph_814_resized.jpeg,124,227,640,429,Abnormal
sperm_morph_469_resized.jpeg,241,227,563,563,Abnormal
sperm_morph_1079_resized_lr.jpeg,71,173,646,322,Normal
sperm_morph_546_resized.jpeg,146,318,558,494,Abnormal
sperm_morph_175_resized_lr.jpeg,93,171,574,421,Abnormal
sperm_morph_609_resized.jpeg,263,195,579,524,Abnormal
sperm_morph_269_resized_lr.jpeg,90,245,636,417,Normal
sperm_morph_822_resized_lr.jpeg,198,212,661,513,Normal
sperm_morph_820_resized_ud.jpeg,437,40,745,116,Abnormal
sperm_morph_21_resized_lr_ud.jpeg,31,287,627,430,Normal
sperm_morph_231_resized_ud.jpeg,193,25,553,545,Abnormal
sperm_morph_214_resized_lr.jpeg,156,217,540,371,Abnormal
sperm_morph_923_resized_lr.jpeg,152,93,659,444,Abnormal
sperm_morph_969_resized_lr.jpeg,529,20,631,516,Normal
sperm_morph_09_resized_lr_ud.jpeg,84,266,679,362,Normal
sperm_morph_387_resized_lr.jpeg,190,185,579,461,Abnormal
sperm_morph_596_resized_lr.jpeg,161,206,741,429,Normal
sperm_morph_912_resized.jpeg,251,55,518,441,Abnormal
sperm_morph_1017_resized_ud.jpeg,305,11,618,578,Normal
sperm_morph_593_resized_ud.jpeg,223,114,705,442,Normal
sperm_morph_239_resized_lr.jpeg,291,85,674,547,Abnormal
sperm_morph_1074_resized_lr.jpeg,342,73,766,386,Normal
sperm_morph_255_resized.jpeg,308,103,558,367,Abnormal
sperm_morph_366_resized_lr_ud.jpeg,219,368,321,576,Abnormal
sperm_morph_100_resized.jpeg,57,45,498,429,Abnormal
sperm_morph_918_resized_lr_ud.jpeg,340,203,423,349,Abnormal
sperm_morph_890_resized_lr.jpeg,46,44,318,298,Abnormal
sperm_morph_1039_resized_ud.jpeg,83,297,690,463,Normal
sperm_morph_940_resized_lr_ud.jpeg,279,26,524,566,Normal
sperm_morph_795_resized_lr.jpeg,22,53,119,387,Abnormal
sperm_morph_221_resized_lr.jpeg,248,120,614,546,Abnormal
sperm_morph_764_resized_ud.jpeg,7,429,261,559,Abnormal
sperm_morph_463_resized_lr_ud.jpeg,502,222,762,386,Abnormal
sperm_morph_868_resized.jpeg,81,203,707,463,Abnormal
sperm_morph_26_resized_lr.jpeg,63,233,665,301,Normal
sperm_morph_1041_resized_ud.jpeg,349,531,484,577,Abnormal
sperm_morph_185_resized_ud.jpeg,177,226,686,512,Normal
sperm_morph_605_resized_lr_ud.jpeg,255,29,649,451,Abnormal
sperm_morph_903_resized_lr_ud.jpeg,112,31,551,409,Abnormal
sperm_morph_854_resized_ud.jpeg,225,104,735,334,Abnormal
sperm_morph_956_resized_ud.jpeg,277,62,672,395,Abnormal
sperm_morph_832_resized_lr_ud.jpeg,354,237,535,352,Abnormal
sperm_morph_139_resized_lr.jpeg,317,240,525,397,Abnormal
sperm_morph_525_resized_lr_ud.jpeg,55,44,147,419,Normal
sperm_morph_305_resized_ud.jpeg,52,5,478,246,Abnormal
sperm_morph_1066_resized.jpeg,638,298,749,543,Abnormal
sperm_morph_1032_resized_lr.jpeg,422,30,583,580,Normal
sperm_morph_200_resized_lr_ud.jpeg,80,219,481,441,Abnormal
sperm_morph_794_resized_lr_ud.jpeg,110,89,499,433,Abnormal
sperm_morph_530_resized_lr.jpeg,499,69,743,230,Abnormal
sperm_morph_525_resized.jpeg,628,162,720,537,Normal
sperm_morph_406_resized.jpeg,51,252,723,414,Abnormal
sperm_morph_439_resized_lr_ud.jpeg,87,39,662,374,Abnormal
sperm_morph_632_resized.jpeg,129,109,533,532,Normal
sperm_morph_720_resized_lr.jpeg,209,320,438,479,Abnormal
sperm_morph_184_resized_ud.jpeg,17,143,580,554,Abnormal
sperm_morph_858_resized_lr_ud.jpeg,326,2,517,502,Abnormal
sperm_morph_614_resized.jpeg,282,123,755,325,Abnormal
sperm_morph_850_resized_lr.jpeg,363,358,625,572,Abnormal
sperm_morph_517_resized_ud.jpeg,327,94,405,510,Abnormal
sperm_morph_872_resized_ud.jpeg,90,59,617,478,Abnormal
sperm_morph_551_resized_lr.jpeg,187,283,523,380,Abnormal
sperm_morph_924_resized_ud.jpeg,107,183,261,339,Abnormal
sperm_morph_918_resized_lr_ud.jpeg,20,57,637,218,Normal
sperm_morph_149_resized_lr_ud.jpeg,98,378,685,489,Abnormal
sperm_morph_735_resized.jpeg,174,122,658,449,Normal
sperm_morph_526_resized_lr.jpeg,199,198,729,508,Abnormal
sperm_morph_543_resized_lr_ud.jpeg,132,160,664,378,Abnormal
sperm_morph_248_resized_lr.jpeg,107,198,473,375,Abnormal
sperm_morph_09_resized_ud.jpeg,96,266,691,362,Normal
sperm_morph_153_resized.jpeg,241,24,544,481,Abnormal
sperm_morph_164_resized_lr.jpeg,256,112,539,403,Abnormal
sperm_morph_807_resized_ud.jpeg,70,17,465,256,Abnormal
sperm_morph_731_resized.jpeg,97,223,620,536,Normal
sperm_morph_65_resized_lr_ud.jpeg,8,247,326,404,Abnormal
sperm_morph_306_resized_lr_ud.jpeg,197,147,608,437,Abnormal
sperm_morph_424_resized.jpeg,284,53,436,479,Abnormal
sperm_morph_197_resized_lr_ud.jpeg,42,309,676,476,Abnormal
sperm_morph_226_resized_lr_ud.jpeg,251,134,563,576,Abnormal
sperm_morph_386_resized_lr.jpeg,103,227,755,415,Abnormal
sperm_morph_931_resized_ud.jpeg,74,184,559,553,Normal
sperm_morph_926_resized_lr_ud.jpeg,168,164,715,365,Abnormal
sperm_morph_241_resized_lr_ud.jpeg,235,47,607,557,Abnormal
sperm_morph_10_resized_lr_ud.jpeg,35,283,639,436,Normal
sperm_morph_257_resized_ud.jpeg,251,8,408,559,Abnormal
sperm_morph_83_resized_ud.jpeg,222,10,675,314,Abnormal
sperm_morph_677_resized_lr.jpeg,148,95,633,403,Abnormal
sperm_morph_434_resized_ud.jpeg,81,134,666,360,Abnormal
sperm_morph_193_resized_lr.jpeg,6,227,577,382,Normal
sperm_morph_867_resized.jpeg,110,343,757,470,Normal
sperm_morph_326_resized_lr.jpeg,135,22,461,155,Abnormal
sperm_morph_264_resized_lr.jpeg,211,152,607,527,Normal
sperm_morph_363_resized_lr.jpeg,135,152,596,397,Abnormal
sperm_morph_593_resized_lr_ud.jpeg,70,114,552,442,Normal
sperm_morph_84_resized_ud.jpeg,103,161,541,531,Abnormal
sperm_morph_718_resized_lr_ud.jpeg,38,106,611,477,Abnormal
sperm_morph_929_resized_lr.jpeg,122,394,577,549,Abnormal
sperm_morph_190_resized_ud.jpeg,17,241,673,372,Abnormal
sperm_morph_578_resized_lr.jpeg,184,139,617,374,Abnormal
sperm_morph_200_resized_lr_ud.jpeg,543,171,752,440,Abnormal
sperm_morph_1100_resized_lr.jpeg,122,31,564,390,Normal
sperm_morph_715_resized_lr_ud.jpeg,53,115,624,315,Normal
sperm_morph_795_resized_ud.jpeg,62,28,433,207,Abnormal
sperm_morph_738_resized_lr_ud.jpeg,293,30,420,545,Normal
sperm_morph_72_resized_lr_ud.jpeg,229,136,459,305,Abnormal
sperm_morph_1075_resized_lr.jpeg,89,90,605,424,Normal
sperm_morph_316_resized.jpeg,381,9,460,570,Abnormal
sperm_morph_465_resized.jpeg,157,273,610,566,Abnormal
sperm_morph_672_resized.jpeg,146,59,417,481,Normal
sperm_morph_92_resized_ud.jpeg,52,274,312,429,Abnormal
sperm_morph_836_resized_ud.jpeg,275,108,698,453,Abnormal
sperm_morph_919_resized.jpeg,71,91,470,478,Normal
sperm_morph_338_resized_ud.jpeg,241,107,762,311,Normal
sperm_morph_853_resized_ud.jpeg,519,159,702,295,Abnormal
sperm_morph_939_resized_lr_ud.jpeg,36,24,319,282,Abnormal
sperm_morph_381_resized_ud.jpeg,390,291,626,546,Abnormal
sperm_morph_876_resized_lr_ud.jpeg,179,354,281,454,Abnormal
sperm_morph_284_resized_ud.jpeg,158,273,750,501,Abnormal
sperm_morph_267_resized_lr_ud.jpeg,312,305,689,440,Abnormal
sperm_morph_1091_resized.jpeg,122,7,706,407,Normal
sperm_morph_943_resized.jpeg,655,95,763,275,Abnormal
sperm_morph_631_resized.jpeg,184,68,616,401,Normal
sperm_morph_132_resized.jpeg,116,200,739,402,Abnormal
sperm_morph_262_resized_lr.jpeg,366,241,577,387,Abnormal
sperm_morph_494_resized_lr.jpeg,168,121,535,542,Abnormal
sperm_morph_751_resized_ud.jpeg,192,103,556,474,Abnormal
sperm_morph_207_resized_lr_ud.jpeg,356,201,584,578,Abnormal
sperm_morph_974_resized.jpeg,187,231,753,303,Normal
sperm_morph_868_resized_lr.jpeg,68,203,694,463,Abnormal
sperm_morph_545_resized_lr.jpeg,60,267,669,371,Abnormal
sperm_morph_561_resized_lr_ud.jpeg,17,189,607,327,Normal
sperm_morph_732_resized.jpeg,344,371,444,536,Abnormal
sperm_morph_181_resized_lr_ud.jpeg,160,134,456,538,Abnormal
sperm_morph_398_resized_lr.jpeg,274,96,607,555,Abnormal
sperm_morph_74_resized.jpeg,273,183,692,392,Abnormal
sperm_morph_477_resized_lr_ud.jpeg,71,65,619,446,Normal
sperm_morph_621_resized_lr_ud.jpeg,299,119,514,472,Normal
sperm_morph_258_resized.jpeg,263,16,504,490,Normal
sperm_morph_1003_resized_lr_ud.jpeg,292,32,401,555,Normal
sperm_morph_394_resized_ud.jpeg,93,119,677,388,Abnormal
sperm_morph_246_resized_lr_ud.jpeg,217,18,627,428,Abnormal
sperm_morph_213_resized_lr.jpeg,319,21,566,573,Abnormal
sperm_morph_314_resized_lr_ud.jpeg,234,205,726,537,Normal
sperm_morph_779_resized.jpeg,180,128,710,413,Abnormal
sperm_morph_1073_resized_lr.jpeg,45,80,139,318,Abnormal
sperm_morph_708_resized_lr_ud.jpeg,252,10,476,434,Normal
sperm_morph_447_resized_lr_ud.jpeg,146,195,649,366,Normal
sperm_morph_482_resized_ud.jpeg,239,253,683,495,Abnormal
sperm_morph_749_resized_ud.jpeg,356,52,745,360,Normal
sperm_morph_162_resized_lr.jpeg,152,52,582,280,Abnormal
sperm_morph_64_resized_lr_ud.jpeg,129,222,602,394,Abnormal
sperm_morph_203_resized_lr.jpeg,115,20,740,312,Abnormal
sperm_morph_105_resized_lr_ud.jpeg,187,155,602,569,Abnormal
sperm_morph_935_resized_lr.jpeg,206,222,432,446,Abnormal
sperm_morph_624_resized_ud.jpeg,128,109,260,230,Abnormal
sperm_morph_1034_resized_lr.jpeg,98,138,717,336,Normal
sperm_morph_265_resized_lr_ud.jpeg,120,17,514,379,Normal
sperm_morph_696_resized_ud.jpeg,420,14,529,156,Abnormal
sperm_morph_724_resized_ud.jpeg,100,153,607,341,Normal
sperm_morph_259_resized_ud.jpeg,355,2,479,505,Normal
sperm_morph_104_resized.jpeg,463,175,686,304,Abnormal
sperm_morph_927_resized.jpeg,254,23,383,544,Abnormal
sperm_morph_78_resized_lr.jpeg,138,220,452,366,Abnormal
sperm_morph_834_resized.jpeg,298,205,597,432,Abnormal
sperm_morph_1030_resized_lr.jpeg,602,316,714,495,Normal
sperm_morph_617_resized_lr.jpeg,217,291,532,465,Abnormal
sperm_morph_160_resized_ud.jpeg,331,54,599,261,Abnormal
sperm_morph_509_resized_lr_ud.jpeg,321,107,457,381,Abnormal
sperm_morph_350_resized_lr_ud.jpeg,206,16,402,449,Abnormal
sperm_morph_678_resized.jpeg,193,75,403,563,Abnormal
sperm_morph_602_resized_ud.jpeg,18,232,127,352,Abnormal
sperm_morph_169_resized.jpeg,311,59,625,366,Normal
sperm_morph_57_resized_lr.jpeg,574,386,727,519,Abnormal
sperm_morph_1048_resized.jpeg,22,144,717,305,Normal
sperm_morph_590_resized_lr_ud.jpeg,74,117,607,322,Abnormal
sperm_morph_58_resized_lr.jpeg,47,95,480,409,Abnormal
sperm_morph_785_resized_lr_ud.jpeg,188,67,403,467,Abnormal
sperm_morph_524_resized_lr_ud.jpeg,80,128,236,273,Abnormal
sperm_morph_754_resized_lr_ud.jpeg,149,58,517,338,Abnormal
sperm_morph_172_resized_lr_ud.jpeg,38,33,538,533,Abnormal
sperm_morph_334_resized_ud.jpeg,16,113,444,342,Abnormal
sperm_morph_820_resized.jpeg,258,76,523,515,Normal
sperm_morph_504_resized_ud.jpeg,272,13,453,568,Abnormal
sperm_morph_571_resized.jpeg,22,148,500,393,Normal
sperm_morph_764_resized_lr.jpeg,514,22,768,152,Abnormal
sperm_morph_914_resized.jpeg,5,209,222,487,Abnormal
sperm_morph_342_resized_ud.jpeg,285,30,479,563,Normal
sperm_morph_1045_resized.jpeg,585,42,743,216,Abnormal
sperm_morph_230_resized.jpeg,164,40,610,486,Abnormal
sperm_morph_527_resized.jpeg,452,425,736,538,Abnormal
sperm_morph_399_resized_ud.jpeg,35,131,603,304,Abnormal
sperm_morph_868_resized_lr_ud.jpeg,68,118,694,378,Abnormal
sperm_morph_897_resized_ud.jpeg,133,143,505,397,Abnormal
sperm_morph_47_resized_lr_ud.jpeg,245,15,758,250,Abnormal
sperm_morph_89_resized.jpeg,168,40,553,563,Abnormal
sperm_morph_369_resized.jpeg,122,291,501,566,Abnormal
sperm_morph_426_resized_lr.jpeg,25,52,583,458,Abnormal
sperm_morph_221_resized_lr_ud.jpeg,248,35,614,461,Abnormal
sperm_morph_457_resized.jpeg,280,108,612,345,Abnormal
sperm_morph_455_resized_lr.jpeg,295,82,675,210,Abnormal
sperm_morph_684_resized.jpeg,158,181,731,396,Abnormal
sperm_morph_867_resized_lr_ud.jpeg,530,293,700,464,Abnormal
sperm_morph_319_resized_lr_ud.jpeg,20,145,300,312,Abnormal
sperm_morph_747_resized_ud.jpeg,135,83,682,297,Abnormal
sperm_morph_913_resized_lr.jpeg,220,65,584,479,Abnormal
sperm_morph_908_resized_lr_ud.jpeg,370,120,503,254,Abnormal
sperm_morph_1035_resized_ud.jpeg,437,262,654,372,Normal
sperm_morph_1043_resized_lr.jpeg,2,274,160,542,Abnormal
sperm_morph_744_resized_lr_ud.jpeg,115,80,754,248,Normal
sperm_morph_120_resized_lr_ud.jpeg,423,17,597,562,Abnormal
sperm_morph_947_resized_ud.jpeg,262,91,682,513,Normal
sperm_morph_486_resized.jpeg,259,107,533,518,Abnormal
sperm_morph_1004_resized_ud.jpeg,104,219,745,448,Normal
sperm_morph_745_resized_lr.jpeg,430,244,665,351,Abnormal
sperm_morph_650_resized_lr.jpeg,288,51,577,560,Abnormal
sperm_morph_147_resized_lr_ud.jpeg,214,187,489,367,Abnormal
sperm_morph_467_resized_lr.jpeg,193,170,767,355,Abnormal
sperm_morph_61_resized_ud.jpeg,62,103,663,286,Abnormal
sperm_morph_956_resized_ud.jpeg,8,155,159,358,Abnormal
sperm_morph_1025_resized_lr_ud.jpeg,264,40,536,416,Normal
sperm_morph_733_resized_ud.jpeg,19,374,164,486,Abnormal
sperm_morph_313_resized.jpeg,13,29,241,255,Normal
sperm_morph_995_resized_lr.jpeg,89,145,566,471,Normal
sperm_morph_454_resized_lr_ud.jpeg,59,195,415,487,Normal
sperm_morph_1046_resized_lr.jpeg,127,81,740,358,Normal
sperm_morph_1043_resized_lr_ud.jpeg,2,39,160,307,Abnormal
sperm_morph_683_resized_lr.jpeg,129,101,471,516,Abnormal
sperm_morph_1076_resized_lr.jpeg,91,72,549,229,Normal
sperm_morph_818_resized_lr.jpeg,437,438,632,572,Abnormal
sperm_morph_841_resized_lr.jpeg,48,13,260,141,Abnormal
sperm_morph_1078_resized.jpeg,694,164,772,378,Abnormal
sperm_morph_14_resized_lr_ud.jpeg,188,204,677,436,Normal
sperm_morph_783_resized_lr.jpeg,313,97,462,278,Abnormal
sperm_morph_205_resized_lr_ud.jpeg,151,14,606,389,Abnormal
sperm_morph_952_resized_lr.jpeg,144,127,660,445,Abnormal
sperm_morph_686_resized_ud.jpeg,133,25,400,514,Abnormal
sperm_morph_198_resized_ud.jpeg,10,230,630,478,Abnormal
sperm_morph_1077_resized_ud.jpeg,249,32,750,366,Normal
sperm_morph_530_resized_lr_ud.jpeg,191,28,489,307,Abnormal
sperm_morph_418_resized_ud.jpeg,131,83,672,399,Abnormal
sperm_morph_293_resized.jpeg,327,36,532,541,Normal
sperm_morph_930_resized_ud.jpeg,17,177,284,334,Abnormal
sperm_morph_867_resized_lr_ud.jpeg,2,148,556,393,Normal
sperm_morph_970_resized_ud.jpeg,77,442,366,555,Abnormal
sperm_morph_931_resized_lr.jpeg,216,28,701,397,Normal
sperm_morph_303_resized_ud.jpeg,111,341,240,440,Abnormal
sperm_morph_565_resized_lr.jpeg,99,299,544,419,Normal
sperm_morph_888_resized_ud.jpeg,52,109,594,458,Abnormal
sperm_morph_190_resized.jpeg,68,314,561,449,Abnormal
sperm_morph_603_resized_ud.jpeg,23,112,271,270,Abnormal
sperm_morph_737_resized_lr_ud.jpeg,150,237,666,566,Normal
sperm_morph_38_resized.jpeg,235,274,651,411,Abnormal
sperm_morph_999_resized.jpeg,200,21,517,544,Normal
sperm_morph_16_resized_lr_ud.jpeg,30,314,661,514,Normal
sperm_morph_599_resized.jpeg,149,74,429,579,Normal
sperm_morph_171_resized_lr_ud.jpeg,281,162,580,573,Normal
sperm_morph_1045_resized_lr.jpeg,32,42,190,216,Abnormal
sperm_morph_1030_resized.jpeg,96,142,748,301,Normal
sperm_morph_584_resized_lr_ud.jpeg,129,12,659,225,Normal
sperm_morph_1059_resized_lr.jpeg,10,267,152,509,Normal
sperm_morph_465_resized_lr.jpeg,165,273,618,566,Abnormal
sperm_morph_462_resized_ud.jpeg,113,86,724,406,Abnormal
sperm_morph_879_resized_lr_ud.jpeg,418,0,745,131,Abnormal
sperm_morph_376_resized_ud.jpeg,232,66,360,167,Abnormal
sperm_morph_303_resized.jpeg,107,96,732,201,Abnormal
sperm_morph_201_resized_lr.jpeg,90,156,710,292,Abnormal
sperm_morph_342_resized_lr.jpeg,296,18,490,551,Normal
sperm_morph_426_resized.jpeg,192,52,750,458,Abnormal
sperm_morph_96_resized_ud.jpeg,138,232,642,493,Abnormal
sperm_morph_1090_resized_ud.jpeg,208,100,681,516,Normal
sperm_morph_483_resized_ud.jpeg,223,140,680,472,Abnormal
sperm_morph_642_resized.jpeg,590,11,732,227,Abnormal
sperm_morph_557_resized.jpeg,92,186,670,380,Normal
sperm_morph_696_resized_lr_ud.jpeg,379,53,582,346,Abnormal
sperm_morph_56_resized_ud.jpeg,17,70,510,490,Normal
sperm_morph_939_resized.jpeg,332,113,568,292,Abnormal
sperm_morph_42_resized_lr_ud.jpeg,561,353,765,562,Abnormal
sperm_morph_312_resized_lr_ud.jpeg,160,210,647,504,Abnormal
sperm_morph_383_resized_ud.jpeg,208,160,601,475,Abnormal
sperm_morph_862_resized_lr.jpeg,158,144,476,534,Abnormal
sperm_morph_919_resized_ud.jpeg,135,41,566,481,Normal
sperm_morph_716_resized_ud.jpeg,224,128,620,546,Abnormal
sperm_morph_415_resized_lr_ud.jpeg,139,43,676,361,Abnormal
sperm_morph_296_resized_ud.jpeg,610,421,738,569,Abnormal
sperm_morph_47_resized_ud.jpeg,17,15,530,250,Abnormal
sperm_morph_254_resized_ud.jpeg,217,105,695,541,Abnormal
sperm_morph_643_resized_lr_ud.jpeg,52,144,522,572,Normal
sperm_morph_177_resized.jpeg,156,53,698,262,Abnormal
sperm_morph_563_resized_lr.jpeg,455,59,614,288,Abnormal
sperm_morph_201_resized.jpeg,65,156,685,292,Abnormal
sperm_morph_343_resized_lr.jpeg,57,290,210,435,Abnormal
sperm_morph_264_resized.jpeg,168,152,564,527,Normal
sperm_morph_330_resized_lr_ud.jpeg,91,15,330,183,Abnormal
sperm_morph_1032_resized_lr_ud.jpeg,91,224,460,431,Normal
sperm_morph_809_resized_lr.jpeg,122,139,551,409,Normal
sperm_morph_914_resized_lr_ud.jpeg,16,176,216,380,Abnormal
sperm_morph_338_resized_lr.jpeg,13,270,534,474,Normal
sperm_morph_103_resized_lr_ud.jpeg,100,120,651,331,Abnormal
sperm_morph_436_resized.jpeg,159,264,545,525,Abnormal
sperm_morph_994_resized_lr_ud.jpeg,63,285,686,484,Normal
sperm_morph_933_resized.jpeg,566,424,746,555,Abnormal
sperm_morph_747_resized_lr.jpeg,93,284,640,498,Abnormal
sperm_morph_193_resized_lr.jpeg,1,329,272,507,Abnormal
sperm_morph_865_resized_lr.jpeg,209,172,551,490,Abnormal
sperm_morph_164_resized.jpeg,236,112,519,403,Abnormal
sperm_morph_336_resized.jpeg,255,8,564,447,Normal
sperm_morph_943_resized_lr_ud.jpeg,12,306,120,486,Abnormal
sperm_morph_649_resized.jpeg,75,238,655,376,Abnormal
sperm_morph_444_resized.jpeg,238,22,610,385,Normal
sperm_morph_943_resized_ud.jpeg,655,306,763,486,Abnormal
sperm_morph_1030_resized_lr.jpeg,27,142,679,301,Normal
sperm_morph_434_resized_lr_ud.jpeg,109,134,694,360,Abnormal
sperm_morph_73_resized_lr.jpeg,251,254,453,430,Abnormal
sperm_morph_188_resized_lr_ud.jpeg,161,56,717,350,Abnormal
sperm_morph_194_resized_lr.jpeg,233,8,558,289,Normal
sperm_morph_524_resized_ud.jpeg,14,157,516,292,Abnormal
sperm_morph_978_resized_ud.jpeg,265,13,505,571,Normal
sperm_morph_31_resized_ud.jpeg,62,9,194,570,Normal
sperm_morph_650_resized.jpeg,40,22,157,283,Abnormal
sperm_morph_698_resized_lr_ud.jpeg,117,31,721,270,Normal
sperm_morph_364_resized_lr.jpeg,107,294,523,573,Normal
sperm_morph_228_resized_lr_ud.jpeg,165,20,469,472,Abnormal
sperm_morph_319_resized_lr.jpeg,20,269,300,436,Abnormal
sperm_morph_463_resized_lr.jpeg,10,203,543,449,Normal
sperm_morph_435_resized_ud.jpeg,194,84,743,359,Abnormal
sperm_morph_930_resized_lr.jpeg,491,247,758,404,Abnormal
sperm_morph_369_resized_lr_ud.jpeg,274,15,653,290,Abnormal
sperm_morph_535_resized.jpeg,183,8,362,194,Abnormal
sperm_morph_456_resized_lr_ud.jpeg,64,141,702,265,Abnormal
sperm_morph_83_resized_lr.jpeg,100,267,553,571,Abnormal
sperm_morph_1027_resized_lr.jpeg,193,201,591,439,Normal
sperm_morph_404_resized.jpeg,32,328,647,561,Abnormal
sperm_morph_107_resized.jpeg,232,10,510,417,Abnormal
sperm_morph_43_resized.jpeg,114,157,720,410,Abnormal
sperm_morph_585_resized.jpeg,92,383,325,566,Abnormal
sperm_morph_841_resized_ud.jpeg,85,214,325,348,Abnormal
sperm_morph_737_resized_lr_ud.jpeg,269,146,702,479,Normal
sperm_morph_532_resized_lr.jpeg,88,226,531,530,Abnormal
